frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
1440,23.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1452,24.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1464,24.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1476,24.4,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1488,24.6,941.0,403.0,-10.08,43.53,44.68,Inner,True,False,,auto,R35,Unknown
1500,24.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1512,25.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1524,25.2,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1536,25.4,941.0,403.0,-10.08,43.53,44.68,Inner,True,False,,auto,R35,Unknown
1548,25.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1560,25.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1572,26.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1584,26.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1596,26.4,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1608,26.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1620,26.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1632,27.0,941.0,403.0,-10.08,43.53,44.68,Inner,True,False,,auto,R35,Unknown
1644,27.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1656,27.4,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1668,27.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1680,27.8,943.0,402.0,-7.89,44.62,45.31,Inner,True,False,,auto,R35,Unknown
1692,28.0,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1704,28.2,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1716,28.4,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1728,28.6,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1740,28.8,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1752,29.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1764,29.2,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1776,29.4,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1788,29.6,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1800,29.8,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1812,30.0,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1824,30.2,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1836,30.4,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1848,30.6,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1860,30.8,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
6480,107.8,949.33,454.4,-0.97,-12.63,12.67,Inner,True,True,,help,R35,Unknown
6492,108.0,949.0,453.0,-1.33,-11.1,11.18,Inner,True,True,,auto,R35,Unknown
6504,108.2,948.0,453.0,-2.43,-11.1,11.36,Inner,True,True,,auto,R35,Unknown
6516,108.4,948.0,453.0,-2.43,-11.1,11.36,Inner,True,True,,auto,R35,Unknown
6528,108.6,948.0,453.0,-2.43,-11.1,11.36,Inner,True,True,,auto,R35,Unknown
6540,108.8,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6552,109.0,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6564,109.2,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6576,109.4,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6588,109.6,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6600,109.8,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6612,110.0,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6624,110.2,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6636,110.4,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6648,110.6,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6660,110.8,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6672,111.0,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6684,111.2,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6696,111.4,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6708,111.6,950.0,455.0,-0.24,-13.29,13.29,Inner,True,True,,auto,R35,Unknown
6720,111.8,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6732,112.0,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6744,112.2,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6756,112.4,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6768,112.6,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6780,112.8,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6792,113.0,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6804,113.2,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6816,113.4,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6828,113.6,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6840,113.8,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6852,114.0,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6864,114.2,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6876,114.4,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6888,114.6,950.0,455.0,-0.24,-13.29,13.29,Inner,True,True,,auto,R35,Unknown
6900,114.8,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6912,115.0,949.0,454.0,-1.33,-12.19,12.27,Inner,True,True,,auto,R35,Unknown
6924,115.2,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6936,115.4,950.0,455.0,-0.24,-13.29,13.29,Inner,True,True,,auto,R35,Unknown
6948,115.6,949.0,455.0,-1.33,-13.29,13.35,Inner,True,True,,auto,R35,Unknown
6960,115.8,951.0,454.0,0.85,-12.19,12.22,Inner,True,True,,auto,R35,Unknown
6972,116.0,951.0,453.0,0.85,-11.1,11.13,Inner,True,True,,auto,R35,Unknown
6984,116.2,950.0,454.0,-0.24,-12.19,12.19,Inner,True,True,,auto,R35,Unknown
6996,116.4,951.0,454.0,0.85,-12.19,12.22,Inner,True,True,,auto,R35,Unknown
7008,116.6,951.0,454.0,0.85,-12.19,12.22,Inner,True,True,,auto,R35,Unknown
7020,116.8,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7032,117.0,951.0,454.0,0.85,-12.19,12.22,Inner,True,True,,auto,R35,Unknown
7044,117.2,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7056,117.4,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7068,117.6,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7080,117.8,951.0,453.0,0.85,-11.1,11.13,Inner,True,True,,auto,R35,Unknown
7092,118.0,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7104,118.2,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7116,118.4,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7128,118.6,951.0,453.0,0.85,-11.1,11.13,Inner,True,True,,auto,R35,Unknown
7140,118.8,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7152,119.0,951.0,453.0,0.85,-11.1,11.13,Inner,True,True,,auto,R35,Unknown
7164,119.2,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7176,119.4,952.0,453.0,1.94,-11.1,11.27,Inner,True,True,,auto,R35,Unknown
7188,119.6,949.33,386.13,-0.97,61.96,61.96,Inner,True,False,,help,R35,Unknown
7200,119.8,962.0,386.0,12.87,62.1,63.42,Inner,True,False,,auto,R35,Unknown
7212,120.0,984.0,396.0,36.91,51.18,63.1,Inner,True,False,,auto,R35,Unknown
7224,120.2,1000.0,410.0,54.39,35.88,65.16,Inner,True,False,,auto,R35,Unknown
7236,120.4,1003.0,424.0,57.66,20.58,61.23,Inner,True,False,,auto,R35,Unknown
7248,120.6,1022.0,430.0,78.42,14.03,79.67,Inner,True,False,,auto,R35,Unknown
7260,120.8,1034.0,435.0,91.53,8.57,91.93,Inner,True,False,,auto,R35,Unknown
7272,121.0,1048.0,440.0,106.83,3.1,106.88,Inner,True,False,,auto,R35,Unknown
7284,121.2,1054.0,446.0,113.39,-3.45,113.44,Inner,True,False,,auto,R35,Unknown
7296,121.4,1074.0,457.0,135.24,-15.47,136.12,Inner,True,False,,auto,R35,Unknown
7308,121.6,1093.0,459.0,156.0,-17.66,156.99,Inner,True,False,,auto,R35,Unknown
7320,121.8,1107.0,469.0,171.29,-28.58,173.66,Inner,True,False,,auto,R35,Unknown
