stimulus,orientation,x,xdop,xhdr,hdr,intensity,edge intensity (L/R),signal rank,calibration_date,
p4.2 u1.0,TB,4.137270000000000000e+05,1.350000000000000089e-01,1.589330000000000000e+05,2.198538279598018230e-02,3,1,,20240926,
p4.2 u1.0,LR,2.960540000000000000e+05,1.150000000000000050e-01,1.891700000000000000e+05,2.290165752066040256e-02,3,1,,20240926,
p4.4 u1.0,TB,3.937930000000000000e+05,1.549999999999999989e-01,1.164230000000000000e+05,3.053554336088053558e-02,3,1,,20240926,
p4.4 u1.0,LR,2.977290000000000000e+05,1.150000000000000050e-01,1.903440000000000000e+05,2.290165752066040256e-02,3,1,,20240926,
p8.0 u1.0,LR,2.909640000000000000e+05,1.849999999999999978e-01,1.550500000000000000e+05,2.714265133629600521e-02,3,1, ,20240926,
p8.0 u1.0,TB,3.541440000000000000e+05,1.849999999999999978e-01,1.473280000000000000e+05,2.714265133629600521e-02,3,1,,20240926,
p0.0 u2.0,LR,4.967200000000000000e+05,3.499999999999999639e-02,1.468050000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.0 u2.0,TB,5.732550000000000000e+05,7.500000000000001110e-02,1.421840000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.3 u2.0,LR,4.976620000000000000e+05,3.499999999999999639e-02,1.483950000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.3 u2.0,TB,5.779360000000000000e+05,7.500000000000001110e-02,1.438220000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.4 u2.0,LR,4.960820000000000000e+05,3.499999999999999639e-02,1.493920000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.4 u2.0,TB,5.789460000000000000e+05,7.500000000000001110e-02,1.443620000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.5 u2.0,LR,4.945190000000000000e+05,3.499999999999999639e-02,1.490090000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.5 u2.0,TB,5.764470000000000000e+05,7.500000000000001110e-02,1.439960000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.6 u2.0,LR,4.944510000000000000e+05,3.499999999999999639e-02,1.486050000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.6 u2.0,TB,5.790150000000000000e+05,7.500000000000001110e-02,1.449760000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.9 u2.0,LR,4.927400000000000000e+05,3.499999999999999639e-02,1.472600000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p0.9 u2.0,TB,6.216320000000000000e+05,6.500000000000000222e-02,1.434150000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p1.0 u2.0,LR,4.917120000000000000e+05,3.499999999999999639e-02,1.475230000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p1.0 u2.0,TB,6.371860000000000000e+05,6.500000000000000222e-02,1.436000000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p1.5 u2.0,LR,4.507770000000000000e+05,4.499999999999999833e-02,1.599620000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p1.5 u2.0,TB,5.598590000000000000e+05,8.500000000000000611e-02,1.486590000000000000e+05,3.297857368110888865e-02,11,6,,20240926,
p8.0 u2.0,LR,3.135810000000000000e+05,9.500000000000000111e-02,1.688180000000000000e+05,6.223017053372284502e-02,11,,,20240926,
p8.0 u2.0,TB,5.083510000000000000e+05,1.150000000000000050e-01,1.511430000000000000e+05,6.223017053372284502e-02,11,,,20240926,
p0.0 u8.0,LR,4.727420000000000000e+05,4.499999999999999833e-02,9.831600000000000000e+04,2.497494289493321640e-01,101,50/57,,20240926,
p0.0 u8.0,TB,5.758330000000000000e+05,6.500000000000000222e-02,8.958100000000000000e+04,2.659202552841810063e-01,101,50/57,,20240926,
p0.1 u8.0,LR,4.726580000000000000e+05,4.499999999999999833e-02,1.082390000000000000e+05,2.414843399337427421e-01,101,45/57,,20240926,
